Name,Amount
Lasagneplatten,375g
Hackfleisch,750g
Zwiebeln,2
Brühe,150ml
stückige Tomaten,800g
Käse,400g
Naturjoghurt,225g
Tomatenmark,70g
Salz,
Pfeffer,
Oregano,
Cayennepfeffer,
Paprikapulver,
Basilikum,
