Name,Amount
Spaghetti,500g
Hackfleisch,400g
stückige Tomaten,300g
Zwiebeln,2
Karotten,1
Parmesan,
Paprikapulver,
Rosmarin,
Pfeffer,
Salz,
Oregano,
Milch,
