Name,Amount
Eier (M),4
Zwiebeln,1
Röstzwiebeln,1
Rinderhackfleisch,500g
Schmerzkäse,4 Scheiben
Salat,1
Tomaten,2
Burgerbrötchen,4
Burgersauce,
Salz,
Pfeffer,
Öl,
