Name,Amount
Nudeln,500g
Erbsen&Karotten, 850g
Schinken,250g
Gruyere Käse,300g
Knoblauchzehe,4
Butter,100g
Mehl,4 El
Milch,1l
Salz,
Pfeffer,
Muskat,
Öl
